Postcode,Borough,Neighbourhood,Latitude,Longitude
M1K,Scarborough,East Birchmount Park,43.72627568400003,-79.26362499999993
M1K,Scarborough,Ionview,43.72627568400003,-79.26362499999993
M1K,Scarborough,Kennedy Park,43.72627568400003,-79.26362499999993
M2K,North York,Bayview Village,43.781015000000025,-79.38052867199997
M3K,North York,CFB Toronto,43.73868500000003,-79.46731999999997
M3K,North York,Downsview East,43.73868500000003,-79.46731999999997
M4K,East Toronto,The Danforth West,43.68317787500007,-79.35510499999998
M4K,East Toronto,Riverdale,43.68317787500007,-79.35510499999998
M5K,Downtown Toronto,Design Exchange,43.64710000000008,-79.38153109899997
M5K,Downtown Toronto,Toronto Dominion Centre,43.64710000000008,-79.38153109899997
M6K,West Toronto,Brockton,43.639410000000055,-79.42436201999999
M6K,West Toronto,Exhibition Place,43.639410000000055,-79.42436201999999
M6K,West Toronto,Parkdale Village,43.639410000000055,-79.42436201999999
M7K,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8K,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M9K,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M1L,Scarborough,Clairlea,43.71305350000006,-79.28505499999994
M1L,Scarborough,Golden Mile,43.71305350000006,-79.28505499999994
M1L,Scarborough,Oakridge,43.71305350000006,-79.28505499999994
M2L,North York,Silver Hills,43.75709511900004,-79.38031999999998
M2L,North York,York Mills,43.75709511900004,-79.38031999999998
M3L,North York,Downsview West,43.720140111000035,-79.51697999999999
M4L,East Toronto,The Beaches West,43.66796500000004,-79.31466717299998
M4L,East Toronto,India Bazaar,43.66796500000004,-79.31466717299998
M5L,Downtown Toronto,Commerce Court,43.64839500000005,-79.37886491099994
M5L,Downtown Toronto,Victoria Hotel,43.64839500000005,-79.37886491099994
M6L,North York,Downsview,43.71381000000008,-79.48830076899998
M6L,North York,North Park,43.71381000000008,-79.48830076899998
M6L,North York,Upwood Park,43.71381000000008,-79.48830076899998
M7L,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8L,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M9L,North York,Humber Summit,43.75950000000006,-79.55702785699998
M1M,Scarborough,Cliffcrest,43.724234575000025,-79.22792499999997
M1M,Scarborough,Cliffside,43.724234575000025,-79.22792499999997
M1M,Scarborough,Scarborough Village West,43.724234575000025,-79.22792499999997
M2M,North York,Newtonbrook,43.79147500000005,-79.41360487299994
M2M,North York,Willowdale,43.79147500000005,-79.41360487299994
M3M,North York,Downsview Central,43.73369000000008,-79.49674024199999
M4M,East Toronto,Studio District,43.660628993000046,-79.33485499999995
M5M,North York,Bedford Park,43.735460000000046,-79.41914787599995
M5M,North York,Lawrence Manor East,43.735460000000046,-79.41914787599995
M6M,York,Del Ray,43.69453000000004,-79.48448943099999
M6M,York,Keelesdale,43.69453000000004,-79.48448943099999
M6M,York,Mount Dennis,43.69453000000004,-79.48448943099999
M6M,York,Silverthorn,43.69453000000004,-79.48448943099999
M7M,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8M,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M9M,North York,Emery,43.73370500000004,-79.53750768599997
M9M,North York,Humberlea,43.73370500000004,-79.53750768599997
M1N,Scarborough,Birch Cliff,43.69677000000007,-79.25996735299998
M1N,Scarborough,Cliffside West,43.69677000000007,-79.25996735299998
M2N,North York,Willowdale South,43.76816500000007,-79.40741984599998
M3N,North York,Downsview Northwest,43.75537065200007,-79.51958999999994
M4N,Central Toronto,Lawrence Park,43.72842000000003,-79.38713269199997
M5N,Central Toronto,Roselawn,43.711941154000044,-79.41911999999996
M6N,York,The Junction North,43.67612500000007,-79.48193234099995
M6N,York,Runnymede,43.67612500000007,-79.48193234099995
M7N,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8N,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M9N,York,Weston,43.704845000000034,-79.51754601599998
M1P,Scarborough,Dorset Park,43.759975000000054,-79.26897418299995
M1P,Scarborough,Scarborough Town Centre,43.759975000000054,-79.26897418299995
M1P,Scarborough,Wexford Heights,43.759975000000054,-79.26897418299995
M2P,North York,York Mills West,43.74789500000003,-79.39991893899997
M3P,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M4P,Central Toronto,Davisville North,43.71275500000007,-79.38851449699996
M5P,Central Toronto,Forest Hill North,43.69478500000008,-79.41440483299994
M5P,Central Toronto,Forest Hill West,43.69478500000008,-79.41440483299994
M6P,West Toronto,High Park,43.659935000000075,-79.46301926299998
M6P,West Toronto,The Junction South,43.659935000000075,-79.46301926299998
M7P,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8P,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M9P,Etobicoke,Westmount,43.69650500000006,-79.53025233799997
M1R,Scarborough,Maryvale,43.750710464000065,-79.30055999999996
M1R,Scarborough,Wexford,43.750710464000065,-79.30055999999996
M2R,North York,Willowdale West,43.77769500000005,-79.44579657299994
M3R,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M4R,Central Toronto,North Toronto West,43.71452278400005,-79.40695999999997
M5R,Central Toronto,The Annex,43.674840000000074,-79.40376823999998
M5R,Central Toronto,North Midtown,43.674840000000074,-79.40376823999998
M5R,Central Toronto,Yorkville,43.674840000000074,-79.40376823999998
M6R,West Toronto,Parkdale,43.64787000000007,-79.44977619099996
M6R,West Toronto,Roncesvalles,43.64787000000007,-79.44977619099996
M7R,Mississauga,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999996
M8R,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M9R,Etobicoke,Kingsview Village,43.68681000000004,-79.55728354099995
M9R,Etobicoke,Martin Grove Gardens,43.68681000000004,-79.55728354099995
M9R,Etobicoke,Richview Gardens,43.68681000000004,-79.55728354099995
M9R,Etobicoke,St. Phillips,43.68681000000004,-79.55728354099995
M1S,Scarborough,Agincourt,43.79394000000008,-79.26797613999997
M2S,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M3S,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M4S,Central Toronto,Davisville,43.70339500000006,-79.38596360499997
M5S,Downtown Toronto,Harbord,43.663110000000074,-79.40180056699995
M5S,Downtown Toronto,University of Toronto,43.663110000000074,-79.40180056699995
M6S,West Toronto,Runnymede,43.64962000000003,-79.47614085899994
M6S,West Toronto,Swansea,43.64962000000003,-79.47614085899994
M7S,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8S,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M9S,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M1T,Scarborough,Clarks Corners,43.78472500000004,-79.29906603299997
M1T,Scarborough,Sullivan,43.78472500000004,-79.29906603299997
M1T,Scarborough,Tam O'Shanter,43.78472500000004,-79.29906603299997
M2T,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M3T,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M4T,Central Toronto,Moore Park,43.69068500000003,-79.38294574299994
M4T,Central Toronto,Summerhill East,43.69068500000003,-79.38294574299994
M5T,Downtown Toronto,Chinatown,43.653530000000046,-79.39723268299997
M5T,Downtown Toronto,Grange Park,43.653530000000046,-79.39723268299997
M5T,Downtown Toronto,Kensington Market,43.653530000000046,-79.39723268299997
M6T,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M7T,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8T,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M9T,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M1V,Scarborough,Agincourt North,43.81768500000004,-79.28018721399997
M1V,Scarborough,L'Amoreaux East,43.81768500000004,-79.28018721399997
M1V,Scarborough,Milliken,43.81768500000004,-79.28018721399997
M1V,Scarborough,Steeles East,43.81768500000004,-79.28018721399997
M2V,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M3V,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M4V,Central Toronto,Deer Park,43.68607377100005,-79.40226499999994
M4V,Central Toronto,Forest Hill SE,43.68607377100005,-79.40226499999994
M4V,Central Toronto,Rathnelly,43.68607377100005,-79.40226499999994
M4V,Central Toronto,South Hill,43.68607377100005,-79.40226499999994
M4V,Central Toronto,Summerhill West,43.68607377100005,-79.40226499999994
M5V,Downtown Toronto,CN Tower,43.64081500000003,-79.39953781899999
M5V,Downtown Toronto,Bathurst Quay,43.64081500000003,-79.39953781899999
M5V,Downtown Toronto,Island airport,43.64081500000003,-79.39953781899999
M5V,Downtown Toronto,Harbourfront West,43.64081500000003,-79.39953781899999
M5V,Downtown Toronto,King and Spadina,43.64081500000003,-79.39953781899999
M5V,Downtown Toronto,Railway Lands,43.64081500000003,-79.39953781899999
M5V,Downtown Toronto,South Niagara,43.64081500000003,-79.39953781899999
M6V,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M7V,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8V,Etobicoke,Humber Bay Shores,43.61220000000003,-79.49514569099995
M8V,Etobicoke,Mimico South,43.61220000000003,-79.49514569099995
M8V,Etobicoke,New Toronto,43.61220000000003,-79.49514569099995
M9V,Etobicoke,Albion Gardens,43.74314500000003,-79.58466389699998
M9V,Etobicoke,Beaumond Heights,43.74314500000003,-79.58466389699998
M9V,Etobicoke,Humbergate,43.74314500000003,-79.58466389699998
M9V,Etobicoke,Jamestown,43.74314500000003,-79.58466389699998
M9V,Etobicoke,Mount Olive,43.74314500000003,-79.58466389699998
M9V,Etobicoke,Silverstone,43.74314500000003,-79.58466389699998
M9V,Etobicoke,South Steeles,43.74314500000003,-79.58466389699998
M9V,Etobicoke,Thistletown,43.74314500000003,-79.58466389699998
M1W,Scarborough,L'Amoreaux West,43.80088292800008,-79.32073999999994
M2W,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M3W,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M4W,Downtown Toronto,Rosedale,43.68220500000007,-79.37794519699997
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.648690000000045,-79.38543999999996
M6W,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M7W,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8W,Etobicoke,Alderwood,43.60113082100003,-79.53878499999996
M8W,Etobicoke,Long Branch,43.60113082100003,-79.53878499999996
M9W,Etobicoke,Northwest,43.71174000000008,-79.57918134599998
M1X,Scarborough,Upper Rouge,43.83421500000003,-79.21670085099998
M2X,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M3X,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M4X,Downtown Toronto,Cabbagetown,43.66816000000006,-79.36660236199998
M4X,Downtown Toronto,St. James Town,43.66816000000006,-79.36660236199998
M5X,Downtown Toronto,First Canadian Place,43.64828000000006,-79.38146082599997
M5X,Downtown Toronto,Underground city,43.64828000000006,-79.38146082599997
M6X,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M7X,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8X,Etobicoke,The Kingsway,43.653760000000034,-79.51089004199997
M8X,Etobicoke,Montgomery Road,43.653760000000034,-79.51089004199997
M8X,Etobicoke,Old Mill North,43.653760000000034,-79.51089004199997
M9X,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M1Y,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M2Y,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M3Y,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M4Y,Downtown Toronto,Church and Wellesley,43.666585000000055,-79.38130203699995
M5Y,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M6Y,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.648690000000045,-79.38543999999996
M8Y,Etobicoke,Humber Bay,43.63283500000006,-79.48955044599995
M8Y,Etobicoke,King's Mill Park,43.63283500000006,-79.48955044599995
M8Y,Etobicoke,Kingsway Park South East,43.63283500000006,-79.48955044599995
M8Y,Etobicoke,Mimico NE,43.63283500000006,-79.48955044599995
M8Y,Etobicoke,Old Mill South,43.63283500000006,-79.48955044599995
M8Y,Etobicoke,The Queensway East,43.63283500000006,-79.48955044599995
M8Y,Etobicoke,Royal York South East,43.63283500000006,-79.48955044599995
M8Y,Etobicoke,Sunnylea,43.63283500000006,-79.48955044599995
M9Y,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M1Z,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M2Z,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M3Z,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M4Z,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M5Z,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M6Z,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M7Z,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8Z,Etobicoke,Kingsway Park South West,43.624630000000025,-79.52694976199996
M8Z,Etobicoke,Mimico NW,43.624630000000025,-79.52694976199996
M8Z,Etobicoke,The Queensway West,43.624630000000025,-79.52694976199996
M8Z,Etobicoke,Royal York South West,43.624630000000025,-79.52694976199996
M8Z,Etobicoke,South of Bloor,43.624630000000025,-79.52694976199996
M9Z,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
